library,scale,query_1,query_2,query_3,query_4,query_5,query_6,query_7,query_8,query_9,query_10,query_11,query_12,query_13,query_14,query_15,query_16,query_17,query_18,query_19,query_20,query_21,query_22
dask,1,0.03428769111633301,0.06690001487731934,0.0504002571105957,0.030409812927246094,0.08470344543457031,0.013156890869140625,0.13738656044006348,0.11421561241149902,0.12855911254882812,0.06771278381347656,0.032863616943359375,0.036669254302978516,0.025340557098388672,0.030732154846191406,0.02655339241027832,0.04067039489746094,0.0432436466217041,0.05842471122741699,0.03714728355407715,0.06156444549560547,0.05239677429199219,0.03203129768371582
dask,5,0.04455208778381348,0.1875898838043213,0.05407834053039551,0.02781963348388672,0.07907557487487793,0.014999151229858398,0.12685036659240723,0.11864328384399414,0.0901188850402832,0.06292986869812012,0.03699755668640137,0.03751349449157715,0.027091026306152344,0.032002925872802734,0.028650283813476562,0.03708052635192871,0.03799724578857422,0.05251288414001465,0.035781145095825195,0.0599212646484375,0.05825161933898926,0.03232932090759277
dask,10,0.2212076187133789,0.21950054168701172,0.08575081825256348,0.03974795341491699,0.09587836265563965,0.022087812423706055,0.15982389450073242,0.1443345546722412,0.12132883071899414,0.08151388168334961,0.04150748252868652,0.05674099922180176,0.03499913215637207,0.04355359077453613,0.037261962890625,0.05329012870788574,0.058209896087646484,0.06889510154724121,0.04400038719177246,0.07950878143310547,0.06680750846862793,0.04099869728088379
duckdb,1,0.04494905471801758,0.04801321029663086,0.04734516143798828,0.050975799560546875,0.06380319595336914,0.006489276885986328,0.04791998863220215,0.048059940338134766,0.13199853897094727,0.10298514366149902,0.017287254333496094,0.046507835388183594,0.06740546226501465,0.019801855087280273,0.03640413284301758,0.05100727081298828,0.058676958084106445,0.09105396270751953,0.05769062042236328,0.041512250900268555,0.13675975799560547,0.03049445152282715
duckdb,5,0.3159370422363281,0.545590877532959,0.26201343536376953,0.36913514137268066,0.3458435535430908,0.03151106834411621,0.4034910202026367,0.33550000190734863,0.8852906227111816,1.1148340702056885,0.07639503479003906,0.2884335517883301,0.6646955013275146,0.23212480545043945,0.17807936668395996,0.45589661598205566,0.3593122959136963,1.2518856525421143,0.4184553623199463,0.29924869537353516,1.148395299911499,0.1996290683746338
duckdb,10,0.6736969947814941,1.428818941116333,0.6865944862365723,0.8515055179595947,0.8334131240844727,0.05955004692077637,1.3537695407867432,0.9292967319488525,3.327984094619751,5.04468846321106,0.18529343605041504,0.6597342491149902,2.3707122802734375,0.7811722755432129,0.5179805755615234,2.0392582416534424,0.9586188793182373,4.565968751907349,1.0856480598449707,0.7885782718658447,3.0997045040130615,0.6338305473327637
pandas,1,14.442872524261475,1.573162317276001,16.38755965232849,16.173246145248413,16.644339084625244,13.613843202590942,16.840018033981323,16.77403211593628,18.92683696746826,17.146589040756226,1.288731575012207,16.433276414871216,3.227104663848877,13.979963064193726,13.643740177154541,1.5967347621917725,14.35572624206543,16.570478439331055,14.60286259651184,15.90771746635437,17.807832956314087,2.6960113048553467
pandas,5,81.26085448265076,8.066206693649292,99.1056158542633,93.773197889328,97.64104294776917,81.27503657341003,99.24628329277039,100.68584394454956,113.74420738220215,122.20675110816956,6.496758460998535,101.90425753593445,17.816908359527588,86.89968466758728,85.71981596946716,7.939520835876465,93.6745958328247,102.49557662010193,92.30086541175842,96.03292489051819,115.16448831558228,14.26503610610962
pandas,10,248.68708777427673,17.61042356491089,262.9380347728729,280.1361632347107,275.3735189437866,235.82632493972778,288.3390872478485,283.80263686180115,397.1732530593872,309.6135904788971,13.338120937347412,297.0848650932312,41.88671278953552,265.51806807518005,271.945392370224,18.19110608100891,281.51466250419617,302.01294779777527,303.29582357406616,291.403990983963,339.59280586242676,35.9029974937439
polars,1,0.7091374397277832,0.2931859493255615,0.4897480010986328,0.47220373153686523,0.48615074157714844,0.3990325927734375,0.5592243671417236,0.4781382083892822,0.895681619644165,0.49245333671569824,0.08654117584228516,0.5160040855407715,0.2011566162109375,0.44958949089050293,0.4322781562805176,0.0896446704864502,0.6662306785583496,0.7220022678375244,0.5102834701538086,0.524310827255249,2.5147621631622314,0.132096529006958
polars,5,4.15361762046814,2.343095302581787,2.8322997093200684,2.582784414291382,2.4956014156341553,2.1835174560546875,2.9703266620635986,2.5806188583374023,6.61100435256958,2.6749887466430664,0.41083192825317383,2.531219244003296,1.0184597969055176,2.606788396835327,2.2586050033569336,0.39573049545288086,3.547192096710205,4.371467351913452,2.565476417541504,2.7002320289611816,13.970717191696167,1.4878089427947998
polars,10,13.974362134933472,4.995043992996216,7.064499616622925,5.4118971824646,5.5086774826049805,4.753086566925049,6.346468448638916,5.698540925979614,12.428406476974487,9.708163976669312,1.7390167713165283,5.507845878601074,2.0952188968658447,5.007840871810913,4.825571298599243,0.8524942398071289,12.515960693359375,15.378236055374146,5.364954948425293,6.131182432174683,80.61739349365234,3.3326656818389893
